Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Dove 2b-5,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,409,0.00096,51.65,92.61,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HF,40954,2015
Dove 2b-6,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,409,0.00096,51.65,92.61,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HG,40955,2015
Dove 2b-7,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,408,0.000886,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HH,40956,2015
Dove 2b-9,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,408,0.000886,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HK,40962,2015
Dove 2e-1,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,407,0.000221,51.6,92.6,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JD,41483,2016
Dove 2e-2,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,403,406,0.000221,51.6,92.6,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JE,41484,2016
Dove 2e-3,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,408,0.000295,51.6,92.5,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JG,41486,2016
Dove 2e-4,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,402,407,0.000369,51.6,92.5,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JH,41487,2016
Dove 2ep-1,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,0.000222,51.6,92.5,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HZ,41479,2016
Dove 2ep-2,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,401,7.38E-05,51.6,92.5,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JB,41481,2016
Dove 2ep-3,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,0.000295,51.6,92.5,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JA,41480,2016
Dove 2ep-4,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,0.000222,51.6,92.5,4,678,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1988-067JC,41482,2016
